feature,coefficient,abs_coef
price_range,-0.8895314694062314,0.8895314694062314
new_trader_influx,-0.8689036951112655,0.8689036951112655
unique_traders_count,-0.8439592245125627,0.8439592245125627
price_volatility,0.5632428709889435,0.5632428709889435
trader_concentration,0.5232546247915513,0.5232546247915513
final_week_momentum,0.4783102008630793,0.4783102008630793
event_electionType_Presidential,0.44614175557231356,0.44614175557231356
trading_frequency,0.31870788140575074,0.31870788140575074
price_fluctuations,-0.2908339756468175,0.2908339756468175
market_duration_days,0.17493811235921503,0.17493811235921503
volumeNum,0.152702435315607,0.152702435315607
volume_acceleration,0.08069876211889343,0.08069876211889343
event_country_Latin America,0.0,0.0
event_electionType_Presidential Primary,0.0,0.0
event_electionType_Presidential Detail,0.0,0.0
event_electionType_Prime Minister,0.0,0.0
event_electionType_Regional Election,0.0,0.0
event_electionType_Senate,0.0,0.0
event_electionType_Parliamentary,0.0,0.0
event_electionType_Other Election,0.0,0.0
event_electionType_Balance of Power,0.0,0.0
event_country_United States,0.0,0.0
event_country_United Kingdom,0.0,0.0
event_country_Other Countries,0.0,0.0
event_country_Brazil,0.0,0.0
event_country_Ireland,0.0,0.0
event_country_Germany,0.0,0.0
event_country_Eastern Europe,0.0,0.0
event_country_Canada,0.0,0.0
event_commentCount,0.0,0.0
comment_per_trader,0.0,0.0
comment_per_vol,0.0,0.0
two_way_traders_ratio,0.0,0.0
trader_to_trade_ratio,0.0,0.0
late_stage_participation,0.0,0.0
trading_continuity,0.0,0.0
buy_sell_ratio,0.0,0.0
event_electionType_Vice Presidential,0.0,0.0
