groupItemTitle,outcomes,outcomePrices,volumeNum,volumeClob,enableOrderBook,active,clobTokenIds,event_ticker,event_title,event_description,event_volume,event_country,event_electionType,event_commentCount,correct_outcome,yes_token_id,closing_price,price_2days_prior,pre_election_vwap_48h,price_volatility,price_range,final_week_momentum,price_fluctuations,last_trade_price,prediction_error,prediction_confidence,market_duration_days,trading_frequency,buy_sell_ratio,trading_continuity,late_stage_participation,volume_acceleration,unique_traders_count,trader_to_trade_ratio,two_way_traders_ratio,trader_concentration,new_trader_influx,comment_per_vol,comment_per_trader,actual_outcome,brier_score,log_loss,prediction_correct
Donald Trump,"[""Yes"", ""No""]","[""1"", ""0""]",1531479285.0,1531479285.0,True,True,"[""21742633143463906290569050155826241533067272736897614950488156847949938836455"", ""48331043336612883890938759509493159234755048973500640148014422747788308965732""]",presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,Yes,2.1699999999999998e+76,0.554999998,0.554999998,0.0269352465,0.170871727,0.015,0.0,0.0,0.554999998,0.445000002,0.109999997,305.0,1865.57377,1.10996387,0.921311475,0.0,4.000694449,62065.0,9.167807943,0.409119472,1.48197188,0.0,0.000136522,3.368742447,1,0.198025002,0.588787169,1.0
Kamala Harris,"[""Yes"", ""No""]","[""0"", ""1""]",1037039118.0,1037039118.0,True,True,"[""69236923620077691027083946871148646972011131466059644796654161903044970987404"", ""87584955359245246404952128082451897287778571240979823316620093987046202296181""]",presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,No,6.919999999999999e+76,0.399000002,0.399000002,0.0269352465,0.170871727,0.015,0.0,0.0,0.399000002,0.399000002,0.201999996,304.0,2638.157895,1.176509679,0.894736842,0.0,4.000694449,72183.0,11.11064932,0.547705138,1.43625187,0.0,0.000201613,2.896540737,0,0.159201002,0.509160348,1.0
Other Republican Politician,"[""Yes"", ""No""]","[""0"", ""1""]",241655099.9,241655099.9,True,True,"[""87935798830831555521299232238121934560977823768906296045917813721531790174443"", ""57677804490585887398706024193987529955099603362215749525873675088072565146041""]",presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,No,8.79e+76,0.001,0.001,0.001,0.205186552,0.003,0.0,0.0,0.001,0.001,0.998,303.0,639.0957096,1.069707787,0.884488449,0.008339961,0.361001149,22339.0,8.668516943,0.851694346,1.549497537,0.020054613,0.000865204,9.359461032,0,1e-06,0.0010005,1.0
Kamala Harris,"[""Yes"", ""No""]","[""0"", ""1""]",163779786.6,163779786.6,True,True,"[""21271000291843361249209065706097167029083067325856089903026951915683588703117"", ""43898019188443109254544011644141095748327433947336326565220861409147408981284""]",presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,No,2.13e+76,0.738999999,0.736,0.726034354,0.085197469,0.195,0.158,0.0,0.731,0.738999999,0.477999998,300.0,1414.233333,1.133768533,0.756666667,0.229559007,9.838243167,49608.0,8.552451218,0.455047573,1.540709925,0.285861151,3.17E-05,0.104499274,0,0.546120999,1.343234868,0.0
Michelle Obama,"[""Yes"", ""No""]","[""0"", ""1""]",153382275.6,153382275.6,True,True,"[""97508453625137094121006941885029334584603955750917059456402541591996493525667"", ""101835693390914207034008670272805414453671321042882880939287726647351186404691""]",presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,No,9.75e+76,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.998,304.0,477.1743421,1.055620111,0.986842105,0.004880705,0.211962061,18963.0,7.649686231,0.780414491,1.505387389,0.013921848,0.001363137,11.02573432,0,1e-06,0.0010005,1.0
Robert F. Kennedy Jr.,"[""Yes"", ""No""]","[""0"", ""1""]",141605110.7,141605110.7,True,True,"[""75551890681049796405776295654438099776333571510662809052054780589218524237663"", ""56404905393055211239795086916790918063008904529043139446524120756836481670648""]",presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,No,7.56e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,304.0,374.5427632,1.092225428,0.967105263,0.006876806,0.298649858,19391.0,5.871847764,0.828941261,1.530611886,0.015986798,0.001476507,10.78237327,0,1e-06,0.0010005,1.0
Donald Trump,"[""Yes"", ""No""]","[""1"", ""0""]",119932620.8,119932620.8,True,True,"[""42699080635179861375280720242213672850141860123562672932351602811041149946128"", ""52646153159016006621189163812433115969858888637703551736022048114666679879653""]",presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,Yes,4.2699999999999995e+76,0.262,0.264999999,0.27380763,0.170871727,0.186999985,-0.154979254,0.0,0.271999993,0.738,0.476,300.0,680.7533333,1.22696443,0.97,0.279851733,11.9936457,30908.0,6.607544972,0.33890902,1.61710556,0.389607869,4.32E-05,0.167723567,1,0.544644,1.339410775,0.0
Other Democrat Politician,"[""Yes"", ""No""]","[""0"", ""1""]",116558196.4,116558196.4,True,True,"[""74706296939809671893768905246606398708802232875822379413753245164957842209130"", ""103543247440804352548620987887141435213865749546518237928636621721195722919525""]",presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,No,7.47e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,303.0,539.7359736,1.04440333,0.930693069,0.005246423,0.227095162,18519.0,8.830930396,0.847723959,1.524232604,0.017819537,0.001793791,11.29008046,0,1e-06,0.0010005,1.0
Nikki Haley,"[""Yes"", ""No""]","[""0"", ""1""]",107529158.1,107529158.1,True,True,"[""19083349462791593334532840548890602187185739923311385087650426802477691161360"", ""25663677275476030658483179785762851061160843737234225579491314980654272946621""]",presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,No,1.91e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,305.0,414.6262295,1.01653591,0.924590164,0.00756755,0.329728985,15736.0,8.03641332,0.850470259,1.486323847,0.020335536,0.001944412,13.28679461,0,1e-06,0.0010005,1.0
Hillary Clinton,"[""Yes"", ""No""]","[""0"", ""1""]",93307167.69,93307167.69,True,True,"[""79316691944049488812500733050438507204613781002222375264046442941003895009475"", ""81996907021530768903266356962155871449963890840127658427020993407290924449685""]",presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,No,7.929999999999999e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,304.0,186.8421053,1.016329428,0.736842105,0.009559859,0.415171026,9795.0,5.798876978,0.711383359,1.550352113,0.025012762,0.002240782,21.34568657,0,1e-06,0.0010005,1.0
Joe Biden,"[""Yes"", ""No""]","[""0"", ""1""]",72176112.34,72176112.34,True,True,"[""88027839609243624193415614179328679602612916497045596227438675518749602824929"", ""34731657770883441140875001518098751138877095477683682718012432921110142479972""]",presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,No,8.8e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,305.0,122.6393443,1.087915155,1.0,0.026627456,1.160196307,6729.0,5.55877545,0.280725219,1.555861516,0.063159459,0.002896817,31.07163026,0,1e-06,0.0010005,1.0
Hillary Clinton,"[""Yes"", ""No""]","[""0"", ""1""]",70237132.51,70237132.51,True,True,"[""21331146930618962824689789220409196138572970640663273021860765909977344077098"", ""72030927215702361814290973244368675464536489585886402057335674636016647741043""]",presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,No,2.13e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,300.0,201.8233333,1.248811469,0.75,0.00761392,0.326310847,11709.0,5.170979588,0.803484499,1.512709135,0.008284226,7.38E-05,0.442736357,0,1e-06,0.0010005,1.0
Joe Biden,"[""Yes"", ""No""]","[""0"", ""1""]",57519438.44,57519438.44,True,True,"[""29771515314065403331935508893946579645282141892225585852084723308418208825505"", ""73890423855099261268197674979498041824881965319673879879507212961483126998683""]",democratic-nominee-2024,Democratic Nominee 2024,This is a market on who will be the Democratic nominee for the 2024 presidential election.,327866173.2, United States, Presidential Primary,3104.0,No,2.9799999999999996e+76,0.001,0.001,0.0269352465,0.170871727,0.015,0.0,0.0,0.001,0.001,0.998,218.0,136.2293578,1.498149394,0.940366972,0.0,4.000694449,5103.0,5.819713894,0.335880854,1.550508452,0.0,5.40E-05,0.608269645,0,1e-06,0.0010005,1.0
Kamala Harris,"[""Yes"", ""No""]","[""1"", ""0""]",54563172.65,54563172.65,True,True,"[""61307174745343826105381155328818841321097085669107501488931143161146416325701"", ""54591161509758068427816015327514967347226540141874651452795485734427174342667""]",democratic-nominee-2024,Democratic Nominee 2024,This is a market on who will be the Democratic nominee for the 2024 presidential election.,327866173.2, United States, Presidential Primary,3104.0,Yes,6.13e+76,0.999,0.999,0.0269352465,0.170871727,0.015,0.0,0.0,0.999,0.001,0.998,218.0,194.2844037,1.391800316,0.73853211,0.0,4.000694449,5932.0,7.139919083,0.332602832,1.491523823,0.0,5.69E-05,0.523263655,1,1e-06,0.0010005,1.0
Gavin Newsom,"[""Yes"", ""No""]","[""0"", ""1""]",54161276.23,54161276.23,True,True,"[""99200347365169760700385453164878188504479548439905371494493482364634358863823"", ""88063614818983277039870506697948521713429593096456892435153186054911641634952""]",presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,No,9.919999999999999e+76,0.001,0.001,0.001,4.34e-16,0.0,0.0,0.0,0.001,0.001,0.998,305.0,112.3213115,1.040867389,0.921311475,0.018010392,0.784738497,5305.0,6.457681433,0.427332705,1.626744118,0.055230914,0.003860341,39.41206409,0,1e-06,0.0010005,1.0
Robert F. Kennedy Jr.,"[""Yes"", ""No""]","[""0"", ""1""]",47770370.84,47770370.84,True,True,"[""6333204770411034121381004753674929868178817465526206481102652091802294810372"", ""75745745045456887896132402809740705215382251376613233135883491325350121154511""]",presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,No,6.33e+75,0.001,0.001,0.001,4.34e-16,0.0,0.0,0.0,0.001,0.001,0.998,300.0,170.57,1.279027301,0.793333333,0.012858846,0.551093393,10698.0,4.78323051,0.81239484,1.534286998,0.014021312,0.000108519,0.484576556,0,1e-06,0.0010005,1.0
Michelle Obama,"[""Yes"", ""No""]","[""0"", ""1""]",47510450.44,47510450.44,True,True,"[""114906809173953523276355880925100389606649541176600550608761173629971358774558"", ""111642085027395307760165609157375961929053087532129347894740372163977917411268""]",democratic-nominee-2024,Democratic Nominee 2024,This is a market on who will be the Democratic nominee for the 2024 presidential election.,327866173.2, United States, Presidential Primary,3104.0,No,1.15e+77,0.001,0.001,0.0269352465,0.170871727,0.015,0.0,0.0,0.001,0.001,0.998,218.0,94.5412844,1.535991141,0.894495413,0.0,4.000694449,3339.0,6.172506739,0.253369272,1.561183891,0.0,6.53E-05,0.929619647,0,1e-06,0.0010005,1.0
Ron DeSantis,"[""Yes"", ""No""]","[""0"", ""1""]",46309049.2,46309049.2,True,True,"[""54541905023211985194827443687227462634594584372996482268933020846517872533280"", ""31047886014226264999763088291196820581455214827362848029616905203866058950804""]",presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,No,5.4499999999999996e+76,0.001,0.001,0.001,4.34e-16,0.0,0.0,0.0,0.001,0.001,0.998,305.0,60.05245902,0.808987654,0.908196721,0.032103079,1.398777026,3203.0,5.71838901,0.297221355,1.610613671,0.085544802,0.004514906,65.27661567,0,1e-06,0.0010005,1.0
Ron DeSantis,"[""Yes"", ""No""]","[""0"", ""1""]",39315353.33,39315353.33,True,True,"[""22198899803799400842653407696459652606619797905839715433140999262976116021845"", ""107275417694529311248022017394742033208095565936648770987025176324471482957102""]",presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,No,2.22e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,300.0,81.81,0.768227666,0.756666667,0.022368904,0.958667295,5027.0,4.882235926,0.46707778,1.464001956,0.036602347,0.000131857,1.031231351,0,1e-06,0.0010005,1.0
