id,question,slug,groupItemTitle,startDate,endDate,description,outcomes,outcomePrices,volumeNum,volumeClob,enableOrderBook,active,clobTokenIds,event_id,event_ticker,event_slug,event_title,event_description,event_volume,event_country,event_electionType,event_commentCount,market_start_date,market_end_date,correct_outcome,yes_token_id,closing_price,price_2days_prior,pre_election_vwap_48h,price_volatility,price_range,final_week_momentum,price_fluctuations,last_trade_price,prediction_correct,prediction_error,prediction_confidence,market_duration_days,trading_frequency,buy_sell_ratio,trading_continuity,late_stage_participation,volume_acceleration,unique_traders_count,trader_to_trade_ratio,two_way_traders_ratio,trader_concentration,new_trader_influx,comment_per_vol,comment_per_trader,actual_outcome,brier_score,log_loss
253591.0,Will Donald Trump win the 2024 US Presidential Election?,will-donald-trump-win-the-2024-us-presidential-election,Donald Trump,2024-01-04T22:58:00Z,2024-11-05T12:00:00Z,"This market will resolve to “Yes” if Donald J. Trump wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.","[""Yes"", ""No""]","[""1"", ""0""]",1531479285.0,1531479285.0,True,True,"[""21742633143463906290569050155826241533067272736897614950488156847949938836455"", ""48331043336612883890938759509493159234755048973500640148014422747788308965732""]",903193.0,presidential-election-winner-2024,presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,2024-01-04 22:58:00+00:00,2024-11-05 12:00:00+00:00,Yes,2.1699999999999998e+76,0.554999998,0.554999998,,,,,,0.554999998,1.0,0.445000002,0.109999997,305.0,1865.57377,1.10996387,0.921311475,0.0,,62065.0,9.167807943,0.409119472,1.48197188,0.0,0.000136522,3.368742447,1,0.198025002,0.588787169
253597.0,Will Kamala Harris win the 2024 US Presidential Election?,will-kamala-harris-win-the-2024-us-presidential-election,Kamala Harris,2024-01-04T23:02:00Z,2024-11-04T12:00:00Z,"This market will resolve to “Yes” if Kamala Harris wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.","[""Yes"", ""No""]","[""0"", ""1""]",1037039118.0,1037039118.0,True,True,"[""69236923620077691027083946871148646972011131466059644796654161903044970987404"", ""87584955359245246404952128082451897287778571240979823316620093987046202296181""]",903193.0,presidential-election-winner-2024,presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,2024-01-04 23:02:00+00:00,2024-11-04 12:00:00+00:00,No,6.919999999999999e+76,0.399000002,0.399000002,,,,,,0.399000002,1.0,0.399000002,0.201999996,304.0,2638.157895,1.176509679,0.894736842,0.0,,72183.0,11.11064932,0.547705138,1.43625187,0.0,0.000201613,2.896540737,0,0.159201002,0.509160348
253642.0,Will any other Republican Politician win the 2024 US Presidential Election?,will-any-other-republican-politician-win-the-2024-us-presidential-election,Other Republican Politician,2024-01-06T20:13:00Z,2024-11-05T00:00:00Z,"This market will resolve to “Yes” if any other Republican Politician other than Donald J. Trump, Nikki Haley, Robert F. Kennedy Jr., Ron DeSantis, Vivek Ramaswamy, and Chris Christie wins. Otherwise this market will resolve to “No.”

For the purposes of this market a Republican Politician is defined as an individual who has held elected office at either the state or federal level (i.e. including but not limited to US Senator, US Representative, Governor, Lieutenant Governor, State Senator, State Representative) and runs as a Republican for the 2024 US Presidential election. 

If their affiliation changes to Independent or a party other than Republican before election day, the individual will not be considered as a Republican Politician.","[""Yes"", ""No""]","[""0"", ""1""]",241655099.9,241655099.9,True,True,"[""87935798830831555521299232238121934560977823768906296045917813721531790174443"", ""57677804490585887398706024193987529955099603362215749525873675088072565146041""]",903193.0,presidential-election-winner-2024,presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,2024-01-06 20:13:00+00:00,2024-11-05 00:00:00+00:00,No,8.79e+76,0.001,0.001,0.001,0.205186552,0.003,0.0,0.0,0.001,1.0,0.001,0.998,303.0,639.0957096,1.069707787,0.884488449,0.008339961,0.361001149,22339.0,8.668516943,0.851694346,1.549497537,0.020054613,0.000865204,9.359461032,0,1e-06,0.0010005
253727.0,Kamala Harris wins the popular vote?,will-kamala-harris-win-the-popular-vote-in-the-2024-presidential-election,Kamala Harris,2024-01-09T23:43:00Z,2024-11-05T12:00:00Z,"This market will resolve to “Yes” if Kamala Harris is the candidate who receives the most votes in the 2024 U.S. presidential election, otherwise this market will resolve to “No.”

In case of a tie, this market will resolve in favor of the candidate whose last name comes first in alphabetical order.

The resolution source will be an overwhelming consensus of credible reporting as to who is the winner of the popular vote.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.
","[""Yes"", ""No""]","[""0"", ""1""]",163779786.6,163779786.6,True,True,"[""21271000291843361249209065706097167029083067325856089903026951915683588703117"", ""43898019188443109254544011644141095748327433947336326565220861409147408981284""]",903216.0,presidential-election-popular-vote-winner-2024,presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,2024-01-09 23:43:00+00:00,2024-11-05 12:00:00+00:00,No,2.13e+76,0.738999999,0.736,0.726034354,0.085197469,0.195,0.158,0.0,0.731,0.0,0.738999999,0.477999998,300.0,1414.233333,1.133768533,0.756666667,0.229559007,9.838243167,49608.0,8.552451218,0.455047573,1.540709925,0.285861151,3.17E-05,0.104499274,0,0.546120999,1.343234868
253609.0,Will Michelle Obama win the 2024 US Presidential Election?,will-michelle-obama-win-the-2024-us-presidential-election,Michelle Obama,2024-01-05T22:01:00Z,2024-11-05T00:00:00Z,"This market will resolve to “Yes” if Michelle Obama wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.","[""Yes"", ""No""]","[""0"", ""1""]",153382275.6,153382275.6,True,True,"[""97508453625137094121006941885029334584603955750917059456402541591996493525667"", ""101835693390914207034008670272805414453671321042882880939287726647351186404691""]",903193.0,presidential-election-winner-2024,presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,2024-01-05 22:01:00+00:00,2024-11-05 00:00:00+00:00,No,9.75e+76,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.001,1.0,0.001,0.998,304.0,477.1743421,1.055620111,0.986842105,0.004880705,0.211962061,18963.0,7.649686231,0.780414491,1.505387389,0.013921848,0.001363137,11.02573432,0,1e-06,0.0010005
253595.0,Will Robert F. Kennedy Jr. win the 2024 US Presidential Election?,will-robert-f-kennedy-jr-win-the-2024-us-presidential-election,Robert F. Kennedy Jr.,2024-01-04T23:01:00Z,2024-11-04T12:00:00Z,"This market will resolve to “Yes” if Robert F. Kennedy Jr. wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.","[""Yes"", ""No""]","[""0"", ""1""]",141605110.7,141605110.7,True,True,"[""75551890681049796405776295654438099776333571510662809052054780589218524237663"", ""56404905393055211239795086916790918063008904529043139446524120756836481670648""]",903193.0,presidential-election-winner-2024,presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,2024-01-04 23:01:00+00:00,2024-11-04 12:00:00+00:00,No,7.56e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,1.0,0.001,0.998,304.0,374.5427632,1.092225428,0.967105263,0.006876806,0.298649858,19391.0,5.871847764,0.828941261,1.530611886,0.015986798,0.001476507,10.78237327,0,1e-06,0.0010005
253706.0,Will Donald Trump win the popular vote in the 2024 Presidential Election?,will-donald-trump-win-the-popular-vote-in-the-2024-presidential-election,Donald Trump,2024-01-09T23:37:00Z,2024-11-05T12:00:00Z,"This market will resolve to “Yes” if Donald Trump is the candidate who receives the most votes in the 2024 U.S. presidential election, otherwise this market will resolve to “No.”

In case of a tie, this market will resolve in favor of the candidate whose last name comes first in alphabetical order.

The resolution source will be an overwhelming consensus of credible reporting as to who is the winner of the popular vote.","[""Yes"", ""No""]","[""1"", ""0""]",119932620.8,119932620.8,True,True,"[""42699080635179861375280720242213672850141860123562672932351602811041149946128"", ""52646153159016006621189163812433115969858888637703551736022048114666679879653""]",903216.0,presidential-election-popular-vote-winner-2024,presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,2024-01-09 23:37:00+00:00,2024-11-05 12:00:00+00:00,Yes,4.2699999999999995e+76,0.262,0.264999999,0.27380763,0.170871727,0.186999985,-0.154979254,0.0,0.271999993,0.0,0.738,0.476,300.0,680.7533333,1.22696443,0.97,0.279851733,11.9936457,30908.0,6.607544972,0.33890902,1.61710556,0.389607869,4.32E-05,0.167723567,1,0.544644,1.339410775
253641.0,Will any other Democratic Politician win the 2024 US Presidential Election?,will-any-other-democratic-politician-win-the-2024-us-presidential-election,Other Democrat Politician,2024-01-06T20:13:00Z,2024-11-05T00:00:00Z,"This market will resolve to “Yes” if any other Democratic Politician other than Joe Biden, Gavin Newsom, Robert F. Kennedy Jr., Kamala Harris, Michelle Obama, Hillary Clinton, AOC, Bernie Sanders, and Elizabeth Warren wins. Otherwise this market will resolve to “No.”

For the purposes of this market a Democratic Politician is defined as an individual who has held elected office at either the state or federal level (i.e. including but not limited to US Senator, US Representative, Governor, Lieutenant Governor, State Senator, State Representative) and runs as a Democrat for the 2024 US Presidential election. 

If their affiliation changes to Independent or a party other than Democrat before election day, the individual will not be considered as a Democratic Politician.","[""Yes"", ""No""]","[""0"", ""1""]",116558196.4,116558196.4,True,True,"[""74706296939809671893768905246606398708802232875822379413753245164957842209130"", ""103543247440804352548620987887141435213865749546518237928636621721195722919525""]",903193.0,presidential-election-winner-2024,presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,2024-01-06 20:13:00+00:00,2024-11-05 00:00:00+00:00,No,7.47e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,1.0,0.001,0.998,303.0,539.7359736,1.04440333,0.930693069,0.005246423,0.227095162,18519.0,8.830930396,0.847723959,1.524232604,0.017819537,0.001793791,11.29008046,0,1e-06,0.0010005
253593.0,Will Nikki Haley win the 2024 US Presidential Election?,will-nikki-haley-win-the-2024-us-presidential-election,Nikki Haley,2024-01-04T22:58:00Z,2024-11-05T00:00:00Z,"This market will resolve to “Yes” if Nikki Haley wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.","[""Yes"", ""No""]","[""0"", ""1""]",107529158.1,107529158.1,True,True,"[""19083349462791593334532840548890602187185739923311385087650426802477691161360"", ""25663677275476030658483179785762851061160843737234225579491314980654272946621""]",903193.0,presidential-election-winner-2024,presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,2024-01-04 22:58:00+00:00,2024-11-05 00:00:00+00:00,No,1.91e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,1.0,0.001,0.998,305.0,414.6262295,1.01653591,0.924590164,0.00756755,0.329728985,15736.0,8.03641332,0.850470259,1.486323847,0.020335536,0.001944412,13.28679461,0,1e-06,0.0010005
253610.0,Will Hillary Clinton win the 2024 US Presidential Election?,will-hillary-clinton-win-the-2024-us-presidential-election,Hillary Clinton,2024-01-05T22:01:00Z,2024-11-05T00:00:00Z,"This market will resolve to “Yes” if Hillary Clinton wins the 2024 US Presidential Election. Otherwise, this market will resolve to “No.”

The resolution source for this market is the Associated Press, Fox News, and NBC. This market will resolve once all three sources call the race for the same candidate. If all three sources haven’t called the race for the same candidate by the inauguration date (January 20, 2025) this market will resolve based on who is inaugurated.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.","[""Yes"", ""No""]","[""0"", ""1""]",93307167.69,93307167.69,True,True,"[""79316691944049488812500733050438507204613781002222375264046442941003895009475"", ""81996907021530768903266356962155871449963890840127658427020993407290924449685""]",903193.0,presidential-election-winner-2024,presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,2024-01-05 22:01:00+00:00,2024-11-05 00:00:00+00:00,No,7.929999999999999e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,1.0,0.001,0.998,304.0,186.8421053,1.016329428,0.736842105,0.009559859,0.415171026,9795.0,5.798876978,0.711383359,1.550352113,0.025012762,0.002240782,21.34568657,0,1e-06,0.0010005
