,brier_score
181,0.0064
115,1e-06
90,1e-06
278,0.000144
413,1e-06
254,1e-06
291,0.0441
76,4e-06
328,1.6e-05
235,0.003600005
4,1e-06
157,0.0225
318,1e-06
212,0.000144
271,0.04
355,0.014400001
462,1e-06
424,0.0361
370,0.000960998
201,4e-06
407,0.000676
326,1e-06
396,4e-06
461,1e-06
476,1e-06
161,0.0196
344,1.6e-05
222,0.000144
319,8.1e-05
25,1e-06
47,1e-06
149,1e-06
146,1e-06
294,1e-06
197,4e-06
415,0.0009
350,0.001010388
0,0.198025002
376,0.0225
442,7.2e-05
352,0.0009
402,0.000441002
163,0.0676
81,1.6e-05
325,0.036100001
185,9e-06
295,1e-06
498,1e-06
186,0.032245147
499,0.000256
104,1e-06
147,9e-06
8,1e-06
420,1e-06
27,1.6e-05
223,0.2601
170,1e-06
117,1e-06
386,0.0001
241,0.2809
457,1e-06
470,0.0196
83,1e-06
406,0.000529
329,0.0009
23,1e-06
119,1e-06
289,0.001296
19,1e-06
471,9e-06
84,4.9e-05
439,4e-06
265,4e-06
397,1e-06
385,0.0196
447,0.026896
108,0.003844006
266,0.0036
336,0.0081
154,9e-06
143,4e-06
316,1e-06
234,1e-06
82,1e-06
359,0.000169
125,1e-06
260,1e-06
244,1e-06
54,0.3844
405,0.0169
172,1e-06
116,1e-06
215,0.0036
472,5.34e-06
188,4e-06
421,0.000168967
72,1e-06
193,1e-06
378,1e-06
311,0.003721
41,1e-06
273,0.0625
169,0.5041
85,0.115599996
79,1e-06
118,0.000225
211,4e-06
194,1e-06
88,1e-06
238,0.0576
114,0.0049
375,9e-06
423,1e-06
331,9e-06
269,1e-06
263,0.0361
333,1e-06
166,1e-06
164,1e-06
6,0.544644
18,1e-06
92,0.0576
314,0.0441
496,0.3136
245,0.009409
434,1e-06
239,4e-06
61,0.0169
348,0.000169
313,8.1e-05
80,0.1444
111,1e-06
483,0.000169044
494,0.828098675
262,0.001156
374,1e-06
481,0.067600027
380,1e-06
322,1e-06
391,1e-06
304,1e-06
128,1e-06
339,1e-06
208,4e-06
361,0.000289001
216,0.0081
131,1e-06
432,1e-06
368,0.36
130,1e-06
139,1e-06
341,1e-06
335,1e-06
249,0.04
179,1e-06
142,0.608400023
243,0.160801
349,0.000256
436,0.0784
463,6.4e-05
98,0.0576
24,1e-06
43,0.5776
74,3.6e-05
66,0.0441
277,0.108900018
492,0.152100001
71,0.04
443,1e-06
478,0.002809
409,0.000144
315,2.5e-05
106,1e-06
155,1e-06
158,4e-06
302,1.6e-05
224,1.28e-06
176,0.001521
473,0.003481
377,6.4e-05
21,1e-06
482,4.9e-05
204,1e-06
221,1e-06
26,1e-06
464,0.000225
96,0.0196
357,0.01
141,0.51839999
95,1e-06
395,1e-06
398,1e-06
466,0.000324
351,1e-06
332,1e-06
152,0.0064
288,1e-06
225,1.6e-05
400,0.1936
450,1e-06
40,1e-06
156,1e-06
308,1e-06
73,4e-06
140,0.000361
297,1e-06
28,1e-06
134,1e-06
126,0.0324
137,1e-06
100,0.122499973
455,1e-06
416,1e-06
165,1e-06
99,0.16
343,0.000225002
383,0.002809
371,9e-06
248,0.0441
87,0.122499999
292,1e-06
285,0.01
7,1e-06
206,0.0004
11,1e-06
3,0.546120999
389,0.00012117
190,1e-06
60,1e-06
353,0.000121061
160,1e-06
493,0.000961
210,0.108900001
435,0.000625
360,0.071763991
321,0.3025
233,1e-06
49,0.1849
209,1e-06
12,1e-06
20,1e-06
180,0.38441508
255,2.5e-05
253,1.6e-05
33,4e-06
303,1e-06
38,0.001156
323,0.036103232
192,1e-06
426,1e-06
45,0.1764
237,9e-06
207,0.0081
340,1e-06
124,1e-06
39,0.000784
77,1e-06
198,0.01
283,0.1024
129,0.036099998
195,1e-06
196,1e-06
425,0.0784
2,1e-06
217,0.008100005
298,1e-06
240,0.01
342,0.008532119
151,1e-06
484,1e-06
452,2.5e-05
307,1e-06
441,1.6e-05
403,0.000196
337,0.0049
133,1e-06
488,0.5476
168,0.0196
438,1e-06
293,1e-06
35,1e-06
175,0.04
162,1e-06
388,1e-06
65,0.3721
9,1e-06
448,8.1e-05
32,1e-06
127,1e-06
122,1e-06
62,1e-06
135,0.000961001
491,0.001814633
485,4e-06
250,1e-06
465,1e-06
264,0.0121
189,1.6e-05
431,1e-06
354,0.0225
301,1e-06
177,0.001225001
429,4e-06
17,1e-06
440,9e-06
132,1e-06
433,0.000441
120,1e-06
75,0.1225
310,1e-06
109,1e-06
89,1e-06
306,1e-06
64,1e-06
444,0.000568538
445,0.000121
261,0.04409997
55,0.36
369,1e-06
69,1e-06
78,3.6e-05
48,1e-06
13,1e-06
274,1e-06
372,0.0049
93,0.003481
31,1e-06
205,1e-06
381,0.000441
393,0.002304
281,6.53e-05
159,1e-06
110,1e-06
379,8.1e-05
103,1e-06
469,0.931225
468,0.5476
123,1e-06
401,0.000256
247,0.0361
121,0.0036
